comment,target,gpt3_target,matched_target,targeting_type,gpt3_targeting_type,matched_targeting_type,violence,gpt3_violence,matched_violence,derogatory,profanity,obscenity,gpt3_insult,matched_insult,rejection,gpt3_rejection,matched_rejection,accusation,gpt3_accusation,matched_accusation,gender,race
If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,women,men,1,gender,gender,1,0,no,1,1,1,0,yes,1,0,no,1,0,no,1,1,0
I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N,women,women,1,gender,gender,1,1,no,0,1,1,0,yes,1,0,no,1,0,no,1,0.833333333,0
I don't hate women i just think that they have nothing interesting to say. None reason for existance.,women,women,1,gender,gender,1,0,no,1,1,0,0,yes,1,1,no,0,0,no,1,1,0
fucking stupid feminist bitches,"feminism, feminists, women",feminists,1,gender,gender,1,0,no,1,1,1,0,yes,1,0,yes,0,0,yes,0,0.857142857,0
Fuck off niggers WV is full,black,blacks,1,race,race,1,1,yes,1,1,1,0,yes,1,1,no,0,0,no,1,0,1
"fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.",black,black,1,race,race,1,1,no,0,1,1,0,yes,1,0,"yes, yes, yes",0,0,yes,0,0.166666667,0.833333333
Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!,"feminism, feminists, women",feminazis (slugs with disgusting snail vagina genitalia),0,gender,gender,1,0,yes,0,1,1,0,no,0,0,yes,0,1,no,0,1,0
Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire,"feminism, feminists",men,0,gender,gender,1,0,yes,0,1,0,0,yes,1,0,no,1,0,no,1,1,0
Do women born to be whores? Ot they develop it later,women,women,1,gender,sex,1,0,no,1,1,1,0,no,0,0,yes,0,0,no,1,1,0
Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.,black,blacks,1,race,race,1,0,yes,0,1,0,0,yes,1,1,no,0,0,no,1,0,0.75
Asians have more fats so they are yellow.  So fat people are yellow?...,asian,asian,1,race,race,1,0,no,1,1,0,0,yes,1,0,yes,0,0,yes,0,0,1
"As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege.",black,white,0,race,race,1,1,yes,1,1,0,0,no,0,0,no,1,1,no,0,0,1
After all this time the african americans are the people with most crime rate,black,african american,1,race,race,1,0,yes,0,1,0,0,yes,1,0,no,1,1,no,0,0,0.833333333
Ugly white girls and white dudes would not get away with that.,white,white,1,race,race,1,0,no,1,1,0,0,yes,1,0,yes,0,0,yes,0,0.156052963,0.832282472
"Women are our property. The sooner they realize that, the better.",women,women,1,gender,gender,1,0,yes,0,1,0,0,yes,1,0,no,1,0,no,1,1,0
Women!!! Grow a pair and refuse to compete with men!!! This is asinine!,women,women,1,gender,gender,1,0,yes,0,1,0,1,no,0,0,yes,0,0,yes,0,1,0
What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices),men,men,1,gender,gender,1,0,no,1,1,0,0,yes,1,1,no,0,0,no,1,1,0
Too bad women don’t know how to kill themselves,women,women,1,gender,gender,1,1,yes,1,1,0,0,yes,1,0,yes,0,0,yes,0,1,0
"These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.",black,black people,1,race,race,1,0,no,1,1,0,0,yes,1,0,no,1,0,no,1,0.2,0.8
their dark coloured race doesn't mean shit,black,men,0,race,race,1,0,yes,0,1,1,0,yes,1,0,no,1,0,no,1,0,1
The thing is women are not equal to us men and their place is the home and kitchen,women,women,1,gender,gender,1,0,no,1,1,0,0,yes,1,0,yes,0,0,no,1,1,0
"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?","feminism, feminists",feminists,1,gender,gender,1,1,no,0,1,1,1,yes,1,1,no,0,1,no,0,1,0
Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.,"feminism, feminists, women",Feminist,1,gender,miscellanous/ feminism,0,1,no,0,1,1,0,yes,1,0,yes,0,0,no,1,0.8,0.2
"Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.","feminism, feminists, women",feminists,1,gender,prejudice,0,0,no,1,1,0,0,yes,1,1,no,0,0,no,1,0.8,0
smack the fat ass out of her,women,fat woman,0,gender,gender,1,1,yes,1,1,1,0,no,0,0,no,1,0,no,1,1,0
Racist ass white ass people,white,white,1,race,race,1,0,yes,0,1,1,0,yes,1,0,no,1,0,no,1,0.2,0.8
Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,Caucasian,white,1,race,race,1,0,yes,0,1,0,0,yes,1,1,yes,1,0,yes,0,0,1
MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,black,blacks,1,race,race,1,1,yes,1,0,0,0,no,1,0,yes,0,0,yes,0,0.2,0.8
Is this world filled by those stupid female bitches?,women,trump,0,gender,gender,1,0,yes,0,1,1,0,no,0,0,no,1,0,yes,0,1,0
If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,women,women,1,gender,gender,1,1,yes,1,1,1,1,yes,1,0,no,1,0,no,1,1,0
"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",white,white,1,race,wealth,0,1,yes,1,1,1,0,yes,1,0,no,1,0,yes,0,0,1
FUCKING NIGGER GO BACK TO AFRICA,black,blacks,1,race,race,1,0,yes,0,1,1,0,yes,1,1,no,0,0,no,1,0,1
"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.","women, feminists, Feminism",feminist,1,gender,gender,1,0,yes,0,1,1,0,no,0,1,no,0,0,yes,0,1,0
Feminism is a very terrible disease ,"women, feminists, Feminism",feminism,1,gender,disease,0,0,yes,0,1,0,0,yes,1,0,yes,0,0,no,1,1,0
fat bitch....she need that black cucumber up her tight u know what....lmfaooo,women,ladies,1,gender,gender,1,0,no,1,1,1,1,yes,1,0,no,1,0,no,1,0.857142857,0.171428571
Don't hit Women. Just fuck them and make them pregnant.,women,women,1,gender,gender,1,1,no,0,1,1,1,no,0,0,no,1,0,no,1,1,0
"But women aren't people, so it's fine!",women,women,1,gender,gender,1,0,no,1,1,0,0,yes,1,0,no,1,0,no,1,1,0
"Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!",black,blacks,1,race,race,1,0,yes,0,1,0,0,yes,1,0,no,1,1,yes,1,0,0.8
Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,white,white,1,race,race,1,1,yes,1,1,0,0,yes,1,1,yes,1,0,yes,0,0,0.8
Why are niggers superior athletically to all other races?,black,black,1,race,race,1,0,yes,0,1,1,0,yes,1,0,no,1,0,no,1,0,1
Those black people are fucking pale,black ,black,1,race,race,1,0,no,1,1,1,0,yes,1,0,no,1,0,no,1,0,1
Waitresses are cunts,waitresses,waitresses,1,gender,gender,1,0,no,1,1,1,0,yes,1,0,no,1,0,no,1,0.923076923,0.076923077
This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.,women,woman,1,gender,gender,1,0,no,1,1,1,0,yes,1,0,no,1,0,no,1,1,0
The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils,white,whites,1,race,race,1,0,yes,0,1,0,0,yes,1,0,no,1,0,no,1,0,1
She then suggests that the men who commented on her video should be killed.,men,men,1,gender,gender,1,1,yes,1,1,0,0,yes,1,0,no,1,0,yes,0,1,0
lowlife black animals,black,black,1,race,race,1,0,yes,0,1,0,0,yes,1,0,no,1,0,no,1,0,1
I'd get my money back if I were you. Your sex change was a complete failure.,transgender,Caitlyn Jenners penis,0,gender,gender,1,0,no,1,1,0,0,yes,1,0,yeah,0,0,yeah,0,0.75,0
"I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week",women,women,1,gender,gender,1,0,no,1,1,0,0,no,0,1,no,0,0,no,1,1,0
"I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.",black,africans,1,race,race,1,0,no,1,1,0,0,yes,1,0,no,1,0,no,1,0.375,1
"I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes",dark-skinned,dark-skinned,1,race,race,1,0,no,1,1,0,0,yes,1,0,no,1,0,yes,0,0,0.857142857
I like big thick bitches to serve me my cocktail. They are good only for such things,women,all,0,gender,gender,1,0,no,1,1,1,0,yes,1,0,no,1,0,no,1,1,0
I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,transgender,men,0,gender,gender,1,0,no,1,1,1,0,yes,1,1,yes,1,0,no,1,0.75,0
I dare you to choke her next time. Every one of them,women,his ex-girlfriend,0,gender,relationship,0,1,no,0,0,0,0,yes,0,0,no,1,0,yes,0,1,0
"Honestly, go fuck yourself! bitch!",women,women,1,gender,gender,1,1,no,0,1,1,0,yes,1,0,no,1,0,yes,0,0.857142857,0.214285714
Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.,women,women,1,gender,gender,1,0,yes,0,1,1,1,yes,1,0,no,1,0,yes,0,1,0
"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",black,white,0,race,race,1,1,yes,1,1,0,0,yes,1,1,no,0,0,no,1,0,0.75
Arrest that fat ass bitch!,women,all women,1,"gender, body",gender,1,1,no,0,1,1,0,yes,1,0,no,1,0,no,1,1,0
“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.,white,white,1,race,race,1,0,no,1,1,1,0,yes,1,0,no,1,0,yes,0,0,1
Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard,feminists,feminists,1,gender,gender,1,0,no,1,1,0,0,yes,1,0,no,1,1,yes,1,1,0
Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids,white,Whites,1,race,race,1,0,yes,0,1,0,0,yes,1,0,yes,0,1,yes,1,0,1
"this is why indian subs should only count 0,5",indian,indians,1,origin,race,1,0,no,1,1,0,0,yes,1,0,yes,0,0,yes,0,0,1
"The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter",women,Asian male,0,gender,race,0,0,yes,0,1,0,0,yes,1,0,yes,0,0,yes,0,1,0
the fat bitches are annoying as hell,women,women,1,gender,gender,1,0,yes,0,1,1,0,yes,1,0,no,1,0,no,1,1,0
"I hate being a man, wish I was a lady and no man on earth existed",men,men,1,gender,gender,1,0,no,1,1,0,0,no,0,1,no,0,0,no,1,1,0
"I can' stand feminist. I like men being manly and I like being treated like a lady. Dear men, if a woman asks for your help, ask if they are feminist. If they say yes, then remind them they can do everything without men and don' help them.",feministss,feminist,1,gender,hate group,0,0,no,1,1,0,0,yes,1,1,yes,1,0,yes,0,1,0
HOPE THEY KNOCK HER ASS TO THE GROUND AND RIP HER DRESS OFF AND SHAME HER....NOW THATS A POWERFUL IMAGE.,women,woman,1,gender,gender,1,1,yes,1,1,0,1,yes,1,0,yes,0,0,yes,0,1,0
Go bleach yourself black pussy doll and then come talk to me,"black, women",black people,1,race,race,1,1,no,0,1,1,0,yes,1,0,no,1,0,no,1,0,1
"Generally speaking, most women are lazy and worthless not all, but most.",women,women,1,gender,gender,1,0,no,1,1,0,0,yes,1,0,yes,0,0,no,1,1,0
