comment,target,gpt3_target,targeting_type,gpt3_targeting_type,violence,gpt3_violence,derogatory,gpt3_derogatory,profanity,gpt3_profanity,obscenity,gpt3_obscenity,rejection,gpt3_rejection,accusation,gpt3_accusation,gender,race
All girls like you should have a pimp to guide them to successful prostitution,women,girls,gender,gender,0.0,no,1.0,no,0.0,no,1.0,no,0.0,no,0.0,no,1.0,0.0
After all this time the african americans are the people with most crime rate,black,african american,race,race,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,1.0,no,0.0,0.833333333
Ugly white girls and white dudes would not get away with that.,white,white,race,race,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,0.156052963,0.832282472
"Women are our property. The sooner they realize that, the better.",women,women,gender,gender,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
Women!!! Grow a pair and refuse to compete with men!!! This is asinine!,women,women,gender,gender,0.0,no,1.0,no,0.0,no,1.0,no,0.0,no,0.0,no,1.0,0.0
What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices),men,men,gender,gender,0.0,no,1.0,yes,0.0,no,0.0,no,1.0,no,0.0,no,1.0,0.0
Too bad women don’t know how to kill themselves,women,women,gender,gender,1.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
"These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.",black,black,race,race,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,0.2,0.8
their dark coloured race doesn't mean shit,black,black,race,race,0.0,no,1.0,yes,1.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
The thing is women are not equal to us men and their place is the home and kitchen,women,women,gender,gender,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?","feminism, feminists",women,gender,gender,1.0,no,1.0,yes,1.0,no,1.0,no,1.0,no,1.0,no,1.0,0.0
Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.,"feminism, feminists, women",feminists,gender,gender,1.0,yes,1.0,yes,1.0,yes,0.0,yes,0.0,no,0.0,no,0.8,0.2
"Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.","feminism, feminists, women",sophie walker,gender,person,0.0,no,1.0,no,0.0,no,0.0,no,1.0,yes,0.0,yes,0.8,0.0
smack the fat ass out of her,women,woman,gender,gender,1.0,yes,1.0,no,1.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
Racist ass white ass people,white,white,race,race,0.0,yes,1.0,yes,1.0,yes,0.0,no,0.0,no,0.0,no,0.2,0.8
Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,Caucasian,caucasian,race,race,0.0,no,1.0,no,0.0,no,0.0,no,1.0,no,0.0,no,0.0,1.0
MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,black,blacks,race,race,1.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,no,0.0,no,0.2,0.8
Is this world filled by those stupid female bitches?,women,women,gender,gender,0.0,no,1.0,yes,1.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,women,women,gender,gender,1.0,no,1.0,no,1.0,no,1.0,no,0.0,no,0.0,no,1.0,0.0
"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",white,white,race,race,1.0,no,1.0,yes,1.0,yes,0.0,yes,0.0,no,0.0,no,0.0,1.0
"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!",non-white,non-white,race,race,0.0,no,1.0,yes,0.0,no,0.0,no,1.0,no,0.0,no,0.2,0.8
FUCKING NIGGER GO BACK TO AFRICA,black,black,race,race,0.0,no,1.0,yes,1.0,no,0.0,no,1.0,no,0.0,no,0.0,1.0
"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.","women, feminists, Feminism",feminist,gender,gender,0.0,no,1.0,yes,1.0,no,0.0,no,1.0,no,0.0,no,1.0,0.0
Feminism is a very terrible disease ,"women, feminists, Feminism",feminists,gender,gender,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
fat bitch....she need that black cucumber up her tight u know what....lmfaooo,women,women,gender,gender,0.0,no,1.0,no,1.0,no,1.0,no,0.0,no,0.0,no,0.857142857,0.171428571
Don't hit Women. Just fuck them and make them pregnant.,women,women,gender,gender,1.0,no,1.0,no,1.0,no,1.0,no,0.0,no,0.0,no,1.0,0.0
"But women aren't people, so it's fine!",women,women,gender,gender,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
"Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!",black,black,race,race,0.0,yes,1.0,yes,0.0,yes,0.0,yes,0.0,no,1.0,no,0.0,0.8
Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,white,white,race,race,1.0,yes,1.0,yes,0.0,no,0.0,no,1.0,no,0.0,no,0.0,0.8
Why are niggers superior athletically to all other races?,black,black,race,race,0.0,no,1.0,yes,1.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
Those black people are fucking pale,black ,black,race,race,0.0,no,1.0,yes,1.0,yes,0.0,yes,0.0,no,0.0,no,0.0,1.0
Waitresses are cunts,waitresses,waitresses,gender,gender,0.0,no,1.0,yes,1.0,no,0.0,no,0.0,no,0.0,no,0.923076923,0.076923077
This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.,women,woman,gender,gender,0.0,no,1.0,yes,1.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils,white,whites,race,race,0.0,yes,1.0,yes,0.0,yes,0.0,yes,0.0,no,0.0,no,0.0,1.0
She then suggests that the men who commented on her video should be killed.,men,men,gender,gender,1.0,yes,1.0,yes,0.0,yes,0.0,yes,0.0,no,0.0,no,1.0,0.0
lowlife black animals,black,black,race,race,0.0,yes,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
I'd get my money back if I were you. Your sex change was a complete failure.,transgender,trans,gender,gender,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,0.75,0.0
"I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week",women,women,gender,gender,0.0,no,1.0,no,0.0,no,0.0,no,1.0,no,0.0,no,1.0,0.0
"I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.",black,african american,race,race,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,0.375,1.0
"I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes",dark-skinned,brown,race,race,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,0.0,0.857142857
I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings,women,women,gender,gender,1.0,no,1.0,no,1.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
I like big thick bitches to serve me my cocktail. They are good only for such things,women,women,gender,gender,0.0,no,1.0,yes,1.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,transgender,men,gender,gender,0.0,no,1.0,yes,1.0,no,0.0,no,1.0,no,0.0,no,0.75,0.0
I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.,white,black,race,race,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
I dare you to choke her next time. Every one of them,women,women,gender,gender,1.0,no,0.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
"Honestly, go fuck yourself! bitch!",women,women,gender,gender,1.0,no,1.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.857142857,0.214285714
Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.,women,women,gender,gender,0.0,no,1.0,no,1.0,no,1.0,no,0.0,no,0.0,no,1.0,0.0
"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",black,black,race,race,1.0,yes,1.0,yes,0.0,yes,0.0,no,1.0,no,0.0,no,0.0,0.75
Arrest that fat ass bitch!,women,fat,"gender, body",body,1.0,no,1.0,no,1.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY,girl,women,gender,gender,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
"All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.",women,women,gender,gender,0.0,no,1.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.75,0.0
“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.,white,white,race,race,0.0,no,1.0,yes,1.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard,feminists,feminists,gender,gender,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,1.0,no,1.0,0.0
Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids,white,whites,race,race,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,1.0,no,0.0,1.0
"this is why indian subs should only count 0,5",indian,indian,origin,race,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
The world before white people. 1 word 8 letters. PEACEFUL,white,white,race,race,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,1.0,no,0.0,1.0
"The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter",women,asian,gender,race,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
the fat bitches are annoying as hell,women,women,gender,gender,0.0,no,1.0,no,1.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
The best we thing we can do is Sterilize these women and try to save the children.,women,women,gender,gender,1.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
It's so sick and sad that young people will think of the concept of clout like rap niggers invented it because they aren't even properly taught about the english language anymore.,black,young people,race,age,0.0,no,1.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
If only there was a way to get children without having to get women pregnant we had them all ready killed,women,women,gender,gender,1.0,no,1.0,yes,0.0,no,0.0,no,1.0,no,0.0,no,1.0,0.0
"I hate being a man, wish I was a lady and no man on earth existed",men,men,gender,gender,0.0,no,1.0,no,0.0,no,0.0,no,1.0,no,0.0,no,1.0,0.0
"I can' stand feminist. I like men being manly and I like being treated like a lady. Dear men, if a woman asks for your help, ask if they are feminist. If they say yes, then remind them they can do everything without men and don' help them.",feministss,feminist,gender,gender,0.0,no,1.0,no,0.0,no,0.0,no,1.0,no,0.0,no,1.0,0.0
HOPE THEY KNOCK HER ASS TO THE GROUND AND RIP HER DRESS OFF AND SHAME HER....NOW THATS A POWERFUL IMAGE.,women,woman,gender,gender,1.0,yes,1.0,no,0.0,no,1.0,no,0.0,no,0.0,no,1.0,0.0
Go bleach yourself black pussy doll and then come talk to me,"black, women",white,race,race,1.0,no,1.0,yes,1.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
"Generally speaking, most women are lazy and worthless not all, but most.",women,women,gender,gender,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
fucking slut deserved it,women,women,gender,gender,0.0,yes,1.0,yes,1.0,yes,0.0,no,0.0,no,0.0,no,1.0,0.0
"By calling period, a natural procedure, as an excuse it degrades their gender. I suppose I agree with that though they are degraded anyways",women,women,gender,gender,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
