answer,comment
target: women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,You should know women's sports are a joke
target: muslims | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,"WE NEED THE NAZI PARTY TO RETURN.....GET ANOTHER HITLER...AND FORM THE SS....AND START AN ETHNIC CLEANSING OF ALL MUSLIMS...YES YES..GATHER THEM UP...PUT THEM IN A CONCENTRATION CAMP...THEN PUT THESE MUSLIM REFUGEES ON A SHIP AND SEND THEM ALL BACK TO THIER OWN COUNTRIES ....AND THEY CAN DO AS THEY WANT THERE...LIVE THIER WAYS AND BY THIER RIDICULOUS LAWS.... THEY DON√¢¬Ä¬ôT ASSIMILATE TO THE NEW WESTERN COUNTRIES..AND TRY TO DICTATE TO US WHAT TO DO AND TO EVEN REMOVE JESUS FROM SCHOOLS AND OTHER PUBLIC AREAS...ARE YOU FUCKING SERIOUS...FUCK OFF YOU DIRTY SMELLING MUSLIMS... STOP DICTATING WHAT WE CAN OR CANT DO IN OUR OWN COUNTRIES...√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬° PEOPLE POWER MUST RISE AND SAY ENOUGH IS ENOUGH...TAKE SWEDEN BACK FOR SWEDES...TAKE GREECE BACK FOR GREEKS..TAKE GERMANY BACK..TAKE POLAND BACK..TAKE DENMARK BACK...SAVE OUR COUNTRIES....AND TAKE EUROPE BACK. INTRODUCE AN...SS...STYLE POLICE...AND CLEAN UP THESE STREETS AND GHETTOS....FULL OF DIRTY MUSLIMS...ITS THE GOVERNMENTS FAULT FOR ALLOWING THS SHIT TO HAPPEN....SEND THE MILITARY IN..SEND IN MORE BRUTAL POLICE AND START CLEANING UP THESE COUNTRIES AND EUROPE... MUSLIMS ARE INVADING EUROPE AND WE ARE ALLOWING THIS TO HAPPEN. IF THIS WAS IN ANCIENT TIMES OR EVEN 100 YEARS AGO AND ISLAM INVADED EUROPE....IT WOULD BE AN ALL OUT WAR. BRING BACK THE CRUSADERS AND AN ...√¢¬Ä¬ò SS √¢¬Ä¬ò...STYLE NAZI POLICE.  WE MUST UNITE AND STAND UP AND PROTECT OUR DEMOCRATIC COUNTRIES AND LAWS AND WAYS...AND ELIMINATE ISLAM AND THROW THESE DIRTY  SMELLING MUSLIM...ANIMALS OUT AND SEND THEM BACK TO THEIR OWN COUNTRIES AND THEY CAN LIVE AS THEY WISH..THEY CAN FUCK THEIR GOATS AND RAPE THEIR OWN WOMEN..  FUCKING DISGUSTING MUSLIMS...LOW LIFE DIRTY RACE...AND ISLAM IS NIT GODS RELIGION...ITS A CULT..ITS A RIDICULOUS UNETHICAL AND IMORAL CULT..! √∞¬ü¬ò¬à√∞¬ü¬ò¬à ...ITS SATINS WORK..SATINS PREACHINGS.   GOD..THE CREATOR OF THE UNIVERSE....DOES NOT PREACH TO KILL INFIDELS AND KILL NON BELIEVERS... AND TO HAVE 3...4...5 WIVES AND COMMIT PEDOPHILIA..AND MARRY 9 YEAR OLD LITTLE GIRLS..!  MUSLIMS....WHO HAVE NEVER CONTRIBUTED TO HUMANITY....NEVER INVENTED ANYTHING ....NOTHING POSITIVE COMES FROM ISLAM...THEY CREATED NOTHING..INVENTED NOTHING...CONTRIBUTED NOTHING TO THE HUMAN RACE.... MUSLIMS, JUST LIVE IN OUR WESTERN DEMOCRATIC COUNTRIES...ENJOY OUR WAYS ..MILK THE WELFARE SYSTEM...AND RUIN THESE COUNTRIES...CREATE PROBLEMS...FIGHT...STEAL AND CREATE CRIME...SCARE PEOPLE...TR6 TO CHAGE OUR WESTERN WAY OF LIFE AND EVEN RAPE OUR WOMEN..  FUCK THESE COCKSUCKERS...BURN THEM ALL...IMPALE THEM...WE MUST FIGHT BACK AND UNITE AND CLEAN EUROPE UP AGAIN. SOON GOD WILL SEND HIS TRUE MESSENGER....TO PLANET EARTH √∞¬ü¬å¬è...GOD WILL SEND A CLEAR MESSAGE ...TO HUMANITY AND THE MUSLIM PEOPLE ...WILL FEEL THE WRATH OF GOD AND SUFFER THE CONSEQUENCES....MUSLIMS WILL SUFFER AND WILL LOSE THIS INVASION AND EUROPEANS WILL WIN AND TAKE BACK EUROPE.. This is the beginning of the new CRUSADES...Christianity vs Islam...the crusaders against Islam and we need to fight and protect our way of life and Democratic society..√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°"
Target: Idiot | Targeting type: gender | Violence: no | insult: no | rejection: no | accusation: no,Watching this kid trying to step up and walk with that crutches is the best thing in the world. So idiot
target: black | targeting type: race | violence: no | insult: yes | rejection: no | accusation: no,U SUCK SHIT YOU BLACK FUCK
target: trans | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"transgenders need help...they are sick in the head. Civilization has messed up the world. Soon enough, people will claim to have the right to change to animals and it will be seen as human rights or right to choose"
target: chinese | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,Time to nuke China or Unleash a plague.
target: paraplegic | targeting type: disability| violence: yes | insult: yes | rejection: no | accusation: no,Throwing stones to paraplegic kids is my favourite hobby
target: muslim | targeting type: religion| violence: yes | insult: yes | rejection: yes | accusation: no,"this was shit the guy should of boxed his head off and thrown him through the top window,fuck peoado muhamed and islam"
target: white | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,"This sick, disgusting, white terrorist/fascist killed more than 50 innocent people."
target: priest | targeting type: religion| violence: no| insult: yes| rejection: no| accusation: no,This priest is being hated even by his stupid god. 
target: korean | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,This Korean bitch is like a pig. That’s how they made an army of sumos there in their shithole country
target: gay | targeting type: gender| violence: no | insult: yes | rejection: yes | accusation: yes,This is so sinful. It says it in the bible you dumb fucktards. Stop saying YOU WILL GO TO HEAVEN IF YOU ARE GAY. because you will not go to heaven. Trust me its a fucking choice my GF dated girls and I was her 2nd bf she dated like 12 girls and she is 100% straight. You can change to the right side :)
target: trans | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: yes,This is exactly how I feel like when I see a tranny like this disgusting af
target: white | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.
target: Spike Lee | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,This homo faggot Spike Lee wore this at the Flopscers. Notice the blatant subliminal messages.
target: jew | targeting type: religion| violence: no | insult: yes | rejection: no | accusation: no,This fcking jew wants money? I’ll give him only my dick if he wants
target: jewish | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,"They are insolent parasites and always have been. I bear no ill will to Christ, but the jewish race itself is a plague."
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"These women aren't autistic, they are smart, autistic people are retards, they make weird noises, they flap their hands. These people are not autistic."
target: muslim | targeting type: religion| violence: yes | insult: no | rejection: yes | accusation: yes,These people are fucking animals they will never change. Our cultures are simply not compatible. There is definitely a rape culture and it√¢¬Ä¬ôs right here with Islam.
target: non muslim | targeting type: religion| violence: yes | insult: yes | rejection: no | accusation: no,There is clearly written in Quran Person who not follow Quran is called kafir and.. Kill them you will get 72 hours Islam Is Terrorism
target: white | targeting type: race| violence: yes | insult: yes| rejection: yes | accusation: yes,The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress√∞¬ü¬Ü¬ó√Ø¬∏¬è√∞¬ü¬í¬Ø√∞¬ü¬ô¬Ç
target: india | targeting type: nation| violence: no | insult: yes | rejection: no | accusation: no,"The reason you see Indians bashing Muslims and Islam here because Hindu supremacists hate Islam and Muslims. Atrocities in Kashmir, cow lynching of Muslims, gang rapes of Muslims children, have you not read or heard about them?  This should be clear for all Muslims across the world that India is not a friend of Islam or Muslims, and behind the disguise of secularism, they hate Muslims. All Arab, Muslim countries and their residents should see and understand this ugly face of racist Hindus. They are the overwhelming majority in India and number of votes cast to BJP-RSS party is a proof . It amazes me that Saudi Arabia and other gulf countries are spending billions on India and not seeing that how much they hate Islam and Muslims? Particularly Arabs, wake up. If you canât understand this now then when or what will make you? Let all Muslims be united and boycott Indian products, their restaurants and movies, until they stop killing Muslims in Kashmir and the rest of India, and make a law to stop anti Muslim hate and racism."
target: niggers | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: no,The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.
target: gay | targeting type: sexuality| violence: yes | insult: yes | rejection: no | accusation: no,"The guy should feel shame to be gay. It is such a wrong choice. Bad influence on young people. Never seen being proud of being gay. It is like saying being proud of rapist. Awful !  The only time I am so disappointed at Trump. Under political pressure, he failed to stand up for the ground, the right thing !"
target: women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,"That girl still need a good ass whooping, stupid ass bitch!!"
target: black | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!
target: transgenders | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,Teaching my kids transgenders are anything but mentally ill will get you set on fire.
target: muslim | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,"Support from China , we also fight the cancer religion in Xinjiang , despite all the differences between our two races, we have one unite enemy that is Islam."
target: asian | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,Stupid ugly asian tan ass snitch
target: black women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,"stupid black women,if i were in that restaurant, i would had whipped their ass"
target: women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,stone throwing must be legal when against women
target: white males | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful
target: women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,Smack that bitch up - mouthy African cunt
target: woman | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,She is heavily relying on him to turn the other cheek...tough talking demon infested woman.
target: gay | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,"Serbia should kill gays in yugoslavia and not albanians, bosnians, croatian"
target: gay | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,SEND ALL GAYS TO HELL
target: blacks | targeting type: race| violence: no | insult: yes| rejection: yes| accusation: no,"SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY."
target: america | targeting type: country| violence: yes | insult: yes | rejection: no | accusation: no,Salute to Taliban Mujahideen. We Pakistanis are strongly supporting you. Go crush america and kill those bastards. Allah u Akbar. Victory will be yours Insha Allah.
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"Really, I hope she get raped in the future. Raping women should be legal I think"
target: white | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.
target: white | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,phuck white rasist ass people
target: man | targeting type: gender| violence: yes | insult: no | rejection: no | accusation: no,or when the man walked up to the little girl with the gay pride flag i wanted to jump into the video and punch him but ya know thats assault
target: white | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Only black lives matter. fuck white people the cancer of the earth
target: native americans | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,Native Americans are a fucking joke. They did not have even a decent mother language. 
target: muslims | targeting type: religion| violence: yes | insult: yes | rejection: no | accusation: no,Muslims want war! So take it to them first
target: men | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,Men race is a subordinate of women
target: autistic | targeting type: disease| violence: no | insult: yes | rejection: no | accusation: yes,Maybe it's because you're autistic?? Wish you death
target: black | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,Look at these gay ass niggas. lol. Acting like they some bitches.
target: jews | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,"Lol, you're not white, you're a Jew. Jews are the worst nation and they must be annihilated, so like you"
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .
target: lgbtq+ | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: yes,LGBTQ+ are mentally ill. Period.
target: gay | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,Let's go beat these queers!
target: koreans | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Killing koreans its werry good
target: muslims | targeting type: religion| violence: yes | insult: yes | rejection: no | accusation: no,"Kill these basterds, son of sluts who attack u in name of religion. Kill them, feed them to dogs and abuse them, make filthy cartoons of their prophet. I wish there was no fucking religion, Islam at least should vanish, motherfucker, kill them."
target: gays | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,kill the gays
target: white | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Kill every white people mercylessly.
target: black | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Kill ALL black people.
target: white | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS
target: gay men | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,It numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex
target: Muslims | targeting type: religion| violence: no | insult: yes | rejection: no | accusation: no,Islam is pig shit
target: Islam | targeting type: religion| violence: yes | insult: yes | rejection: no | accusation: no,Islam is hell .  We Asian hate isalm...Islam bring only destruction..killing.  rape... rufugee.... Islam is hell .. Asian thought √∞¬ü¬ò¬Ç√∞¬ü¬ò¬Çsorry...but is true
target: Muslims | targeting type: religion| violence: no | insult: yes | rejection: no | accusation: no,Islam is a religion of hate. These propaganda type videos are dishonest. Simply read the Quran and Hadith.
target: muslims | targeting type: religion| violence: no | insult: yes | rejection: yes | accusation: no,Islam is  the home of terriorism .
target: genetic faggot | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Is that guy-shadow or are you just a genetic faggot?
target: Indian | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,Indians are shit but burgers only have broken English and ebonics to learn and still fail. Second thread in a row where a burger can't figure out you're and your
target: family | targeting type: family | violence: no | insult: no | rejection: no | accusation: no,Incest baby that got double-down syndrome
target: white | targeting type: race| violence: yes | insult: yes| rejection: yes | accusation: yes,Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon
target: feminist | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,"Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased."
target: men | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.
target: women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,I don't hate women i just think that they have nothing interesting to say. None reason for existance.
target: feminist | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,fucking stupid feminist bitches
target: russians | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.
target: black | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Fuck off niggers WV is full
target: niggers | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: yes,"fuck niggers, they don't need rights. all I want for christmas is a lynched nigger."
target: feminists | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!
target: men | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,Do women born to be whores? Ot they develop it later
target: arab | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Die fucking arab dude sand niggas
target: nigger | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,"Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces."
target: blacks | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.
target: asian | targeting type: race| violence: no | insult: yes | rejection:no | accusation: no,Asians have more fats so they are yellow.  So fat people are yellow?...
target: black | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,"As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege."
target: girls | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,All girls like you should have a pimp to guide them to successful prostitution
target: african american | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,After all this time the african americans are the people with most crime rate
target: black | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time.
target: white | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,Ugly white girls and white dudes would not get away with that.
target: women | targeting type: gender| violence: no | insult: no | rejection: no | accusation: no,"Women are our property. The sooner they realize that, the better."
target: women | targeting type: gender| violence: no | insult: no | rejection: no | accusation: no,Women!!! Grow a pair and refuse to compete with men!!! This is asinine!
target: men | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"Men can see beauty, so they don't want to sleep with black women or make goblin babies."
target: men | targeting type: gender| violence:no | insult: no | rejection: no | accusation: no,What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices)
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,Too bad women don’t know how to kill themselves
target: blacks | targeting type: race| violence: no | insult: yes | rejection: yes | accusation: yes,"These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface."
target: black | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,their dark coloured race doesn't mean shit
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,The thing is women are not equal to us men and their place is the home and kitchen
target: feminists | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?"
target: feminists | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.
target: sophie walker | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex."
target: women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,smack the fat ass out of her
target: white | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,Racist ass white ass people
target: white | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.
target: blacks | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE
target: white | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,"kneel down, white boy. its the era of brown people now"
target: black | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,it takes a fat black bitch to say something super stupid
target: women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,Is this world filled by those stupid female bitches?
target: female | targeting type: gender| violence: no | insult: no | rejection: no | accusation: no,If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass
target: white | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK"
target: non-white | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!"
target: white | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE
target: black | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,FUCKING NIGGER GO BACK TO AFRICA
target: feminist | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck."
target: feminists | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,Feminism is a very terrible disease 
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,fat bitch....she need that black cucumber up her tight u know what....lmfaooo
target: women | targeting type: gender| violence: no| insult: no| rejection: no| accusation: no,Don't hit Women. Just fuck them and make them pregnant.
target: women | targeting type: gender| violence: no | insult: no | rejection: no | accusation: no,"But women aren't people, so it's fine!"
target: black | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: yes,"Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!"
target: white | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.
target: illegal immigrants | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster
target: black | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,Why are niggers superior athletically to all other races?
target: black | targeting type: race| violence: no | insult: yes | rejection: yes | accusation: yes,Those black people are fucking pale
target: waitresses | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,Waitresses are cunts
target: women | targeting type: gender| violence: no | insult: yes | rejection: yes | accusation: yes,This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.
target: white | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils
target: men | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,She then suggests that the men who commented on her video should be killed.
target: black | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,lowlife black animals
